name,director,actors,genre,other,year,link
3 Dumb Clucks,Del Lord,NA,NA,Columbia,1937,/wiki/3_Dumb_Clucks
3 Godfathers,John Ford,NA,Western,MGM,1948,/wiki/3_Godfathers
3 Men in White,Willis Goldbeck,NA,Drama,MGM,1944,/wiki/3_Men_in_White
3 Ninjas,Jon Turteltaub,Max Elliott Slade,Comedy,NA,1992,/wiki/3_Ninjas_(film)
3 Ninjas Kick Back,Charles T. Kanganis,NA,"Action, Family",NA,1994,/wiki/3_Ninjas_Kick_Back
3 Ninjas Knuckle Up,Sang-ok Shin,NA,Comedy,NA,1995,/wiki/3_Ninjas_Knuckle_Up
3 Nuts in Search of a Bolt,Tommy Noonan,NA,Comedy,NA,1964,/wiki/3_Nuts_in_Search_of_a_Bolt
3 Ring Circus,Joseph Pevney,NA,Musical comedy,Paramount Pictures,1954,/wiki/3_Ring_Circus
3 Strikes,DJ Pooh,NA,Comedy,Metro-Goldwyn-Mayer,2000,/wiki/3_Strikes_(film)
3 Women,Robert Altman,NA,Drama,NA,1977,/wiki/3_Women
3:10 to Yuma,Delmer Daves,NA,Western,NA,1957,/wiki/3:10_to_Yuma_(1957_film)
3:10 to Yuma,James Mangold,NA,Western,NA,2007,/wiki/3:10_to_Yuma_(2007_film)
30 Days of Night,David Slade,NA,Horror,NA,2007,/wiki/30_Days_of_Night_(film)
30 Minutes or Less,Ruben Fleischer,NA,"Adventure, Comedy",NA,2011,/wiki/30_Minutes_or_Less
3000 Miles to Graceland,Demian Lichtenstein,NA,"Action, Crime",NA,2001,/wiki/3000_Miles_to_Graceland
35 and Ticking,Russ Parr,NA,Romantic comedy,Image Entertainment,2011,/wiki/35_and_Ticking
36 Hours,George Seaton,NA,War drama,MGM,1965,/wiki/36_Hours_(1965_film)
36 Hours to Kill,Eugene Forde,NA,Drama,NA,1936,/wiki/36_Hours_to_Kill
365 Nights in Hollywood,George Marshall,NA,Musical,NA,1934,/wiki/365_Nights_in_Hollywood
4 for Texas,Robert Aldrich,NA,Western comedy,Warner Bros.,1963,/wiki/4_for_Texas
4 Little Girls,Spike Lee,NA,Documentary,Oscar-nominated,1997,/wiki/4_Little_Girls
40 Carats,Milton Katselas,NA,Romantic comedy,NA,1973,/wiki/40_Carats_(film)
40 Days and 40 Nights,Michael Lehmann,NA,Comedy,NA,2002,/wiki/40_Days_and_40_Nights
40 Guns to Apache Pass,William Witney,NA,Western,Columbia,1967,/wiki/40_Guns_to_Apache_Pass
40 Pounds of Trouble,Norman Jewison,NA,Comedy,Universal,1962,/wiki/40_Pounds_of_Trouble
42nd Street,Lloyd Bacon,NA,Musical,NA,1933,/wiki/42nd_Street_(film)
44 Minutes: The North Hollywood Shoot-Out,Yves Simoneau,NA,Action,NA,2003,/wiki/44_Minutes:_The_North_Hollywood_Shoot-Out
45 Fathers,James Tinling,NA,Comedy,Fox,1937,/wiki/45_Fathers
48 Hrs.,Walter Hill,NA,NA,Murphy's first film,1982,/wiki/48_Hrs.
4D Man,"Irvin S. Yeaworth, Jr.",NA,Sci-fi,"Produced, written by Jack H. Harris",1959,/wiki/4D_Man
5 Against the House,Phil Karlson,NA,Crime,Columbia,1955,/wiki/5_Against_the_House
5 Branded Women,Martin Ritt,NA,War drama,Paramount,1960,/wiki/Five_Branded_Women
5 Card Stud,Henry Hathaway,NA,"Western, mystery",Paramount,1968,/wiki/5_Card_Stud
5 Fingers,Joseph L. Mankiewicz,NA,Drama,20th Century Fox,1952,/wiki/5_Fingers
5 Steps to Danger,Henry S. Kesler,NA,Spy film,United Artists,1957,/wiki/5_Steps_to_Danger
50 First Dates,Peter Segal,NA,Comedy,Columbia Pictures,2004,/wiki/50_First_Dates
50/50,Jonathan Levine,NA,Comedy-drama,NA,2011,/wiki/50/50_(2011_film)
51 Birch Street,Doug Block,NA,Documentary,NA,2005,/wiki/51_Birch_Street
52 Pick-Up,John Frankenheimer,NA,"Thriller, Crime",NA,1986,/wiki/52_Pick-Up
52nd Street,Harold Young,NA,Musical Comedy,NA,1937,/wiki/52nd_Street_(film)
55 Days at Peking,Nicholas Ray,NA,Drama,Allied Artists,1963,/wiki/55_Days_at_Peking
5th Ave Girl,Gregory La Cava,NA,Comedy,RKO,1939,/wiki/5th_Ave_Girl
6 Day Bike Rider,Lloyd Bacon,NA,Comedy,NA,1934,/w/index.php?title=6_Day_Bike_Rider&action=edit&redlink=1
"6,000 Enemies",George B. Seitz,NA,Crime Drama,MGM,1939,"/wiki/6,000_Enemies"
633 Squadron,Walter Grauman,NA,War,United Artists,1964,/wiki/633_Squadron
68,Steven Kovacs,NA,Drama,NA,1988,/wiki/%2768_(film)
6th Marine Division on Okinawa,NA,Harlon Block,Documentary,NA,1945,/wiki/6th_Marine_Division_on_Okinawa
7 Faces of Dr. Lao,George Pal,NA,Fantasy,MGM,1964,/wiki/7_Faces_of_Dr._Lao
7 Women,John Ford,NA,Drama,MGM,1966,/wiki/7_Women
"70,000 Witnesses",Ralph Murphy,NA,Mystery,Paramount Pictures,1932,"/wiki/70,000_Witnesses"
711 Ocean Drive,Joseph M. Newman,NA,Crime drama,Columbia,1950,/wiki/711_Ocean_Drive
7th Cavalry,Joseph H. Lewis,NA,Western,Columbia Pictures,1956,/wiki/7th_Cavalry_(film)
8 Ball Bunny,Chuck Jones,Looney Tunes,Animation,NA,1950,/wiki/8_Ball_Bunny
8 Heads in a Duffel Bag,Tom Schulman,NA,Black comedy,NA,1997,/wiki/8_Heads_in_a_Duffel_Bag
8 Mile,Curtis Hanson,NA,"Drama, Musical",Universal Pictures,2002,/wiki/8_Mile_(film)
8 Million Ways to Die,Hal Ashby,NA,"Thriller, Crime",NA,1986,/wiki/8_Million_Ways_to_Die
8 Seconds,John G. Avildsen,NA,Biopic,NA,1994,/wiki/8_Seconds
8 x 8,3 directors,NA,Experimental,NA,1957,/wiki/8_%C3%97_8:_A_Chess_Sonata_in_8_Movements
8: The Mormon Proposition,Reed Cowan,NA,Documentary,Red Flag Releasing,2010,/wiki/8:_The_Mormon_Proposition
84 Charing Cross Road,David Jones,NA,Drama,NA,1987,/wiki/84_Charing_Cross_Road_(film)
84C MoPic,Patrick Sheane Duncan,"Jonathan Emerson, Nicholas Cascone",Drama,NA,1989,/wiki/84C_MoPic
88 Minutes,Jon Avnet,NA,Thriller,TriStar Pictures,2008,/wiki/88_Minutes
8mm,Joel Schumacher,NA,Thriller,NA,1999,/wiki/8mm_(film)
9/Tenths,Bob Degus,NA,Romance,NA,2006,/wiki/9/Tenths
92 in the Shade,Thomas McGuane,NA,Drama,from novel by McGuane,1975,/wiki/92_in_the_Shade
99 and 44/100% Dead,John Frankenheimer,NA,Crime,Fox,1974,/wiki/99_and_44/100%25_Dead
99 River Street,Phil Karlson,NA,Film noir,United Artists,1953,/wiki/99_River_Street
A Bear For Punishment,Chuck Jones,Looney Tunes,Animation,NA,1951,/wiki/A_Bear_For_Punishment
A Beautiful Mind,Ron Howard,NA,"Biography, Drama",NA,2001,/wiki/A_Beautiful_Mind_(film)
A Bedtime Story,Norman Taurog,NA,Musical,NA,1933,/wiki/A_Bedtime_Story
A Bell for Adano,Henry King,NA,War Drama,20th Century Fox,1945,/wiki/A_Bell_for_Adano
A Better Life,Chris Weitz,NA,Drama,Summit Entertainment,2011,/wiki/A_Better_Life
A Better Place,NA,Elon Bailey,Drama,NA,1997,/wiki/A_Better_Place
A Better Tomorrow 2,NA,Chow-Yun Fat,Action,China,1987,/wiki/A_Better_Tomorrow_2
A Big Hand for the Little Lady,Fielder Cook,NA,"Western, comedy",Warner Bros.,1966,/wiki/A_Big_Hand_for_the_Little_Lady
A Bill of Divorcement,George Cukor,NA,Drama,RKO,1932,/wiki/A_Bill_of_Divorcement_(1932_film)
A Bill of Divorcement,John Farrow,NA,Drama,NA,1940,/wiki/A_Bill_of_Divorcement_(1940_film)
A Bird in the Head,Edward Bernds,Three Stooges,Short,Columbia,1946,/wiki/A_Bird_in_the_Head
A Blueprint for Murder,Andrew L. Stone,NA,Thriller,Fox,1953,/wiki/A_Blueprint_for_Murder
A Bone for a Bone,Friz Freleng,Looney Tunes,Animation,NA,1951,/wiki/A_Bone_for_a_Bone
A Boy and His Dog,L. Q. Jones,NA,Science fiction,NA,1975,/wiki/A_Boy_and_His_Dog_(1975_film)
A Boy Named Sue,Julie Wyman,sex reassignment surgery,Documentary,NA,2000,/wiki/A_Boy_Named_Sue_(film)
A Boy Named Sue,Julie Wyman,NA,Documentary,NA,2001,/wiki/A_Boy_Named_Sue_(film)
A Breath of Scandal,Michael Curtiz,NA,Drama,Paramount,1960,/wiki/A_Breath_of_Scandal
A Bridge Too Far,Richard Attenborough,NA,"War, Action",NA,1977,/wiki/A_Bridge_Too_Far_(film)
A Brief History of Time,Errol Morris,NA,Documentary,NA,1991,/wiki/A_Brief_History_of_Time_(film)
A Bronx Tale,Robert De Niro,NA,Drama,based on Palminteri's play,1993,/wiki/A_Bronx_Tale
A Brooklyn State of Mind,Frank Rainone,NA,Crime,NA,1997,/wiki/A_Brooklyn_State_of_Mind
A Bucket of Blood,Roger Corman,NA,Horror,A.I.P.,1959,/wiki/A_Bucket_of_Blood
A Bucket of Blood,Michael McDonald,NA,Black comedy,NA,1995,/wiki/A_Bucket_of_Blood_(1995_film)
A Bug's Life,John Lasseter,NA,Comedy,NA,1998,/wiki/A_Bug%27s_Life
A Bullet for Joey,Lewis Allen,NA,Film noir,American-International,1955,/wiki/A_Bullet_for_Joey
A Bullet for Pretty Boy,Larry Buchanan,NA,Crime,A.I.P.,1970,/wiki/A_Bullet_for_Pretty_Boy
A Bullet Is Waiting,John Farrow,NA,Western,NA,1954,/wiki/A_Bullet_Is_Waiting
A Certain Smile,Jean Negulesco,NA,Drama,NA,1958,/wiki/A_Certain_Smile_(film)
A Challenge to Democracy,NA,NA,Propaganda,NA,1943,/wiki/A_Challenge_to_Democracy
A Change of Seasons,Stephen Frears,NA,Romance,Fox,1980,/wiki/A_Change_of_Seasons_(film)
A Child Is Born,Lloyd Bacon,NA,Drama,Warner Bros.,1939,/wiki/A_Child_Is_Born_(film)
A Child Is Waiting,John Cassavetes,NA,Drama,United Artists,1963,/wiki/A_Child_Is_Waiting
A Christmas Carol,Edwin L. Marin,NA,"Drama, Fantasy",MGM,1938,/wiki/A_Christmas_Carol_(1938_film)
A Christmas Carol,Stan Phillips,NA,Animated,20th Century Fox,1997,/wiki/A_Christmas_Carol_(1997_film)
A Christmas Carol,Robert Zemeckis,NA,Animation,NA,2009,/wiki/A_Christmas_Carol_(2009_film)
A Christmas Story,Bob Clark,NA,Comedy,NA,1983,/wiki/A_Christmas_Story
A Chump at Oxford,Alfred J. Goulding,NA,Comedy,NA,1940,/wiki/A_Chump_at_Oxford
A Cinderella Story,Mark Rosman,NA,Comedy,NA,2004,/wiki/A_Cinderella_Story
A Circle of Deception,Jack Lee,NA,Drama,NA,1960,/wiki/A_Circle_of_Deception
A Civil Action,Steven Zaillian,NA,Drama,NA,1998,/wiki/A_Civil_Action_(film)
A Close Call for Boston Blackie,Lew Landers,NA,Mystery,Columbia,1946,/wiki/A_Close_Call_for_Boston_Blackie
A Cold Wind in August,Alexander Singer,NA,Drama,United Artists,1961,/wiki/A_Cold_Wind_in_August
A Connecticut Yankee,David Butler,NA,Comedy,NA,1931,/wiki/A_Connecticut_Yankee_(film)
A Connecticut Yankee in King Arthur's Court,Tay Garnett,NA,Musical comedy,NA,1949,/wiki/A_Connecticut_Yankee_in_King_Arthur%27s_Court_(1949_film)
A Cop,Jean-Pierre Melville,NA,Crime,Allied Artists,1972,/wiki/Un_flic
A Covenant with Death,Lamont Johnson,NA,Drama,NA,1967,/wiki/A_Covenant_with_Death
A Cry in the Dark,Fred Schepisi,NA,Docudrama,NA,1988,/wiki/A_Cry_in_the_Dark
A Cry in the Night,Frank Tuttle,NA,Thriller,Warner Bros.,1956,/wiki/A_Cry_in_the_Night_(film)
A Damsel in Distress,George Stevens,NA,"Comedy, Musical",RKO,1937,/wiki/A_Damsel_in_Distress_(film)
A Dangerous Profession,Ted Tetzlaff,NA,Film noir,RKO,1949,/wiki/A_Dangerous_Profession
A Dangerous Woman,Stephen Gyllenhaal,NA,Drama,Gramercy,1993,/wiki/A_Dangerous_Woman_(1993_film)
A Date with Judy,Richard Thorpe,NA,Musical,MGM,1948,/wiki/A_Date_with_Judy_(film)
A Date with the Falcon,Irving Reis,NA,Mystery,RKO,1942,/wiki/A_Date_with_the_Falcon
A Date with Your Family,Edward G. Simmel,Ralph Hodges,Short,NA,1950,/wiki/A_Date_with_Your_Family
A Day at the Beach,Simon Hesera,NA,Comedy,NA,1970,/wiki/A_Day_at_the_Beach
A Day at the Races,Sam Wood,NA,Comedy,MGM,1937,/wiki/A_Day_at_the_Races_(film)
A Day of Fury,Harmon Jones,NA,Western,Universal,1956,/wiki/A_Day_of_Fury
A Day Without a Mexican,Sergio Arau,NA,Comedy,NA,2004,/wiki/A_Day_Without_a_Mexican
A Delicate Balance,Tony Richardson,NA,Drama,NA,1973,/wiki/A_Delicate_Balance_(film)
A Devil With Women,Irving Cummings,NA,Drama,NA,1930,/w/index.php?title=A_Devil_With_Women&action=edit&redlink=1
A Different Story,Paul Aaron,NA,Drama,Embassy,1978,/wiki/A_Different_Story
A Dirty Shame,John Waters,NA,Comedy,NA,2004,/wiki/A_Dirty_Shame
A Dispatch from Reuter's,William Dieterle,NA,Biography,Warner Bros.,1940,/wiki/A_Dispatch_from_Reuter%27s
A Distant Thunder,Donald W. Thompson,Patty Dunning,Drama,NA,1978,/wiki/A_Distant_Thunder_(1978_film)
A Distant Trumpet,Raoul Walsh,NA,Western,Warner Bros.,1964,/wiki/A_Distant_Trumpet
A Divine Double Feature,NA,NA,NA,NA,1990,/wiki/A_Divine_Double_Feature
A Doctor's Diary,Charles Vidor,NA,Drama,NA,1937,/wiki/A_Doctor%27s_Diary
A Dog of Flanders,Edward Sloman,NA,Drama,NA,1935,/wiki/A_Dog_of_Flanders_(1935_film)
A Dog of Flanders,Kevin Brodie,NA,Family,NA,1999,/wiki/A_Dog_of_Flanders_(1999_film)
A Dog's Best Friend,Edward Cahn,NA,Family,NA,1959,/wiki/A_Dog%27s_Best_Friend
A Double Life,George Cukor,NA,Film noir,NA,1947,/wiki/A_Double_Life_(1947_film)
A Dry White Season,Euzhan Palcy,NA,Drama,NA,1989,/wiki/A_Dry_White_Season
A Ducking They Did Go,Del Lord,The Three Stooges,NA,Columbia,1939,/wiki/A_Ducking_They_Did_Go
A Face in the Crowd,Elia Kazan,NA,Drama,NA,1957,/wiki/A_Face_in_the_Crowd_(film)
A Face in the Fog,Robert F. Hill,NA,"Drama, Mystery",NA,1936,/wiki/A_Face_in_the_Fog
A Family Affair,George B. Seitz,NA,"Comedy, Drama",MGM,1937,/wiki/A_Family_Affair_(1937_film)
A Family Thing,Richard Pearce,NA,Comedy,NA,1996,/wiki/A_Family_Thing
A Far Off Place,Mikael Salomon,NA,Adventure,NA,1993,/wiki/A_Far_Off_Place
A Farewell to Arms,Frank Borzage,NA,"Drama, War",NA,1932,/wiki/A_Farewell_to_Arms_(1932_film)
A Farewell to Arms,Charles Vidor,NA,War,NA,1957,/wiki/A_Farewell_to_Arms_(1957_film)
A Feather in His Hare,Chuck Jones,NA,NA,Warner Bros.,1948,/wiki/A_Feather_in_His_Hare
A Fever in the Blood,Vincent Sherman,NA,Crime drama,Warner Bros.,1961,/wiki/A_Fever_in_the_Blood
A Few Good Men,Rob Reiner,NA,Drama,NA,1992,/wiki/A_Few_Good_Men
A Fig Leaf for Eve,Don Brodie,NA,Drama,NA,1944,/wiki/A_Fig_Leaf_for_Eve
A Fig Leaf for Eve,Don Brodie,NA,Drama,NA,1944,/wiki/A_Fig_Leaf_for_Eve
A Fine Madness,Irvin Kershner,NA,"Comedy, drama",NA,1966,/wiki/A_Fine_Madness
A Fine Mess,Blake Edwards,NA,Comedy,Columbia,1986,/wiki/A_Fine_Mess_(film)
A Fish Called Wanda,Charles Crichton,NA,Comedy,NA,1988,/wiki/A_Fish_Called_Wanda
A Flash of Green,Victor Nunez,NA,Drama,NA,1984,/wiki/A_Flash_of_Green
A Force of One,Paul Aaron,NA,Action,ACR,1979,/wiki/A_Force_of_One
A Foreign Affair,Billy Wilder,NA,Comedy,Paramount,1948,/wiki/A_Foreign_Affair
A Fractured Leghorn,Robert McKimson,Foghorn Leghorn,Animation,NA,1950,/wiki/A_Fractured_Leghorn
A Free Soul,Clarence Brown,NA,Drama,NA,1931,/wiki/A_Free_Soul
A Fugitive from Justice,Terry O. Morse,NA,Crime drama,Warner Bros.,1940,/wiki/A_Fugitive_from_Justice
A Funny Thing Happened on the Way to the Forum,Richard Lester,NA,Musical comedy,NA,1966,/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum_(film)
A Game of Death,Robert Wise,NA,Horror,RKO,1945,/wiki/A_Game_of_Death
A Gathering of Eagles,Delbert Mann,NA,Drama,Universal,1963,/wiki/A_Gathering_of_Eagles
A Gem of a Jam,Del Lord,The Three Stooges,NA,Columbia,1943,/wiki/A_Gem_of_a_Jam
A Gentle Gangster,Phil Rosen,NA,Drama,Republic,1943,/wiki/A_Gentle_Gangster
A Gentleman After Dark,Edwin L. Marin,NA,Crime,United Artists,1942,/wiki/A_Gentleman_After_Dark
A Gentleman at Heart,Ray McCarey,NA,Comedy,20th Century Fox,1942,/wiki/A_Gentleman_at_Heart
A Girl in Every Port,Chester Erskine,NA,Comedy,RKO,1952,/wiki/A_Girl_in_Every_Port_(1952_film)
A Girl Named Tamiko,John Sturges,NA,Drama,Paramount,1962,/wiki/A_Girl_Named_Tamiko
A Girl With Ideas,S. Sylvan Simon,NA,Comedy,NA,1937,/w/index.php?title=A_Girl_With_Ideas&action=edit&redlink=1
"A Girl, A Gal and a Pal",Budd Boetticher,NA,Romantic comedy,NA,1945,"/w/index.php?title=A_Girl,_A_Gal_and_a_Pal&action=edit&redlink=1"
"A Girl, a Guy and a Gob",Richard Wallace,NA,Comedy,RKO,1941,"/wiki/A_Girl,_a_Guy_and_a_Gob"
A Global Affair,Jack Arnold,NA,Comedy,MGM,1964,/wiki/A_Global_Affair
A Good Old Fashioned Orgy,Alex Gregory & Peter Huyck,NA,Comedy,NA,2011,/wiki/A_Good_Old_Fashioned_Orgy
A Good Year,Ridley Scott,Russell Crowe,Drama,NA,2006,/wiki/A_Good_Year
A Goofy Movie,Kevin Lima,NA,Animated,Disney,1995,/wiki/A_Goofy_Movie
A Great Wall,Peter Wang,"Peter Wang, Kelvin Han Yee",Comedy drama,1st U.S.-China co-production,1986,/wiki/A_Great_Wall
A Guide for the Married Man,Gene Kelly,NA,Comedy,Featured many cameos,1967,/wiki/A_Guide_for_the_Married_Man
A Guide to Recognizing Your Saints,Dito Montiel,NA,Crime drama,NA,2006,/wiki/A_Guide_to_Recognizing_Your_Saints
A Gunfight,Lamont Johnson,NA,western,Native American-financed,1971,/wiki/A_Gunfight
A Guy Could Change,William K. Howard,NA,Drama,NA,1946,/wiki/A_Guy_Could_Change
A Guy Named Joe,Victor Fleming,NA,NA,NA,1943,/wiki/A_Guy_Named_Joe
A Guy Thing,Chris Koch,NA,Romantic comedy,NA,2003,/wiki/A_Guy_Thing
A Hatful of Rain,Fred Zinnemann,NA,Drama,NA,1957,/wiki/A_Hatful_of_Rain
A High Wind in Jamaica,Alexander MacKendrick,NA,Adventure,NA,1965,/wiki/A_High_Wind_in_Jamaica_(film)
A History of Violence,David Cronenberg,NA,Crime drama,NA,2005,/wiki/A_History_of_Violence_(film)
A Hobo's Christmas,Will MacKenzie,NA,Drama,TV,1987,/wiki/A_Hobo%27s_Christmas
A Hole in the Head,Frank Capra,NA,Drama,NA,1959,/wiki/A_Hole_in_the_Head
A Home at the End of the World,Michael Mayer,NA,Drama,NA,2004,/wiki/A_Home_at_the_End_of_the_World_(film)
A Home of Our Own,Tony Bill,NA,Drama,Gramercy,1993,/wiki/A_Home_of_Our_Own
A House Divided,William Wyler,NA,Drama,NA,1931,/wiki/A_House_Divided_(1931_film)
A House in the Hills,Ken Wiederhorn,NA,Thriller,NA,1993,/wiki/A_House_in_the_Hills
A House Is Not a Home,Russell Rouse,NA,Drama,Embassy,1964,/wiki/A_House_Is_Not_a_Home_(film)
A Kid in King Arthur's Court,Michael Gottlieb,NA,Comedy,NA,1995,/wiki/A_Kid_in_King_Arthur%27s_Court
A Kiss Before Dying,Gerd Oswald,NA,Thriller,NA,1956,/wiki/A_Kiss_Before_Dying_(1956_film)
A Kiss Before Dying,James Dearden,NA,Thriller,NA,1991,/wiki/A_Kiss_Before_Dying_(1991_film)
A Kiss in the Dark,Delmer Daves,NA,Comedy,Warner Bros.,1949,/wiki/A_Kiss_in_the_Dark
A Knight's Tale,Brian Helgeland,NA,Comedy,NA,2001,/wiki/A_Knight%27s_Tale
A Lady Takes a Chance,William A. Seiter,NA,Romantic comedy,RKO,1943,/wiki/A_Lady_Takes_a_Chance
A Lady to Love,Victor Sjostrom,NA,Drama,NA,1930,/wiki/A_Lady_to_Love
A Lady Without Passport,Joseph H. Lewis,NA,Film noir,NA,1950,/wiki/A_Lady_Without_Passport
A League of Their Own,Penny Marshall,NA,Comedy,Columbia,1992,/wiki/A_League_of_Their_Own
A Letter for Evie,Jules Dassin,NA,Comedy,MGM,1946,/wiki/A_Letter_for_Evie
A Letter to Three Wives,Joseph L. Mankiewicz,NA,Drama,NA,1949,/wiki/A_Letter_to_Three_Wives
A Life at Stake,Paul Guilfoyle,NA,Film noir,NA,1954,/wiki/A_Life_at_Stake
