Lord Byron of Broadway,Harry Beaumont,"Charles Kaley, Ethelind Terry",Musical drama,NA,1930
The Lottery Bride,Paul L. Stein,NA,Musical,NA,1930
Lotus Lady,Phil Rosen,NA,Drama,NA,1930
Lovin' the Ladies,Melville W. Brown,NA,Comedy,NA,1930
Madam Satan,Cecil B. DeMille,NA,Drama,NA,1930
Mamba,Albert S. Rogell,NA,NA,NA,1930
Mammy,Michael Curtiz,NA,Musical,NA,1930
The Man from Blankley's,Alfred E. Green,NA,Comedy,NA,1930
A Man from Wyoming,Rowland V. Lee,NA,Western,NA,1930
Man to Man,Allan Dwan,NA,Drama,NA,1930
Manslaughter,George Abbott,NA,Drama,NA,1930
The Matrimonial Bed,Michael Curtiz,NA,Comedy,NA,1930
Maybe It's Love,William A. Wellman,NA,Musical comedy,NA,1930
The Medicine Man,Scott Pembroke,NA,Comedy,NA,1930
Men Without Women,John Ford,NA,Drama,NA,1930
Min and Bill,George W. Hill,NA,Comedy drama,NA,1930
Moby Dick,Lloyd Bacon,NA,Drama,NA,1930
Monte Carlo,Ernst Lubitsch,NA,Musical,NA,1930
Morocco,Josef von Sternberg,NA,Drama,NA,1930
Mothers Cry,Hobart Henley,NA,Drama,NA,1930
Murder Will Out,Clarence G. Badger,NA,Mystery,NA,1930
New Movietone Follies of 1930,Benjamin Stoloff,NA,Musical,NA,1930
"No, No, Nanette",Clarence G. Badger,NA,Musical,NA,1930
Not So Dumb,King Vidor,NA,Comedy,NA,1930
A Notorious Affair,Lloyd Bacon,NA,Romantic drama,NA,1930
Numbered Men,Mervyn LeRoy,NA,Prison drama,NA,1930
The Office Wife,Lloyd Bacon,NA,Romance,NA,1930
Oklahoma Cyclone,John P. McCarthy,NA,Western,NA,1930
Old English,Alfred E. Green,NA,Drama,NA,1930
On Your Back,Guthrie McClintic,NA,Drama,NA,1930
Only the Brave,Frank Tuttle,NA,"Drama, War",NA,1930
The Other Tomorrow,Lloyd Bacon,NA,Drama,NA,1930
Our Blushing Brides,NA,NA,Drama,NA,1930
Outside the Law,Tod Browning,NA,Drama,NA,1930
Outward Bound,Robert Milton,NA,Drama,NA,1930
Paid,Sam Wood,NA,Drama,NA,1930
Paramount on Parade,NA,NA,Musical,NA,1930
Part Time Wife,Leo McCarey,NA,Comedy,NA,1930
Party Girl,Victor Halperin,NA,Drama,NA,1930
The Pay-Off,Lowell Sherman,NA,Drama,NA,1930
Peacock Alley,Marcel de Sano,NA,NA,NA,1930
Playing Around,Mervyn LeRoy,NA,Drama,NA,1930
Puttin' On The Ritz,Edward Sloman,NA,Musical,NA,1930
Raffles,George Fitzmaurice,NA,NA,NA,1930
Rain Or Shine,Frank Capra,NA,Comedy,NA,1930
Reaching for the Moon,Edmund Goulding,NA,Musical,NA,1930
Redemption,Fred Niblo,NA,Drama,NA,1930
Renegades,Victor Fleming,NA,Western,NA,1930
The Return of Dr. Fu Manchu,Rowland V. Lee,NA,Detective,NA,1930
The Right to Love,Richard Wallace,NA,Drama,NA,1930
River's End,Michael Curtiz,NA,Drama,NA,1930
Road to Paradise,William Beaudine,NA,Drama,NA,1930
The Rogue Song,Lionel Barrymore,NA,Operetta,NA,1930
Romance,Clarence Brown,NA,Romance,NA,1930
The Royal Family of Broadway,George Cukor,NA,Comedy,NA,1930
The Runaway Bride,Donald Crisp,NA,Drama,NA,1930
Safety in Numbers,Victor Schertzinger,NA,"Musical, Comedy",NA,1930
The Sap from Syracuse,A. Edward Sutherland,NA,Comedy,NA,1930
Scarlet Pages,Ray Enright,NA,Crime drama,NA,1930
Second Choice,Howard Bretherton,NA,Romance,NA,1930
The Second Floor Mystery,Roy Del Ruth,NA,Mystery,NA,1930
Second Honeymoon,Phil Rosen,NA,"Comedy, Drama",NA,1930
She Couldn't Say No,Lloyd Bacon,NA,Drama,NA,1930
Show Girl in Hollywood,Mervyn LeRoy,NA,Musical comedy,NA,1930
So This Is London,John G. Blystone,NA,Comedy,NA,1930
The Social Lion,A. Edward Sutherland,NA,Comedy,NA,1930
A Soldier's Plaything,Michael Curtiz,NA,Comedy drama,NA,1930
Son of the Gods,Frank Lloyd,NA,Romance,NA,1930
Song o' My Heart,Frank Borzage,NA,Musical,NA,1930
Song of the Flame,Alan Crosland,NA,Operetta,NA,1930
Song of the West,Ray Enright,NA,Musical,NA,1930
Soup to Nuts,Benjamin Stoloff,NA,Comedy,NA,1930
The Storm,William Wyler,NA,Western,NA,1930
Street of Chance,John Cromwell,NA,Comedy,NA,1930
Strictly Modern,William A. Seiter,NA,Romance,NA,1930
Such Men Are Dangerous,Kenneth Hawks,NA,Drama,NA,1930
Sunny,William A. Seiter,NA,Musical,NA,1930
Sunny Skies,Norman Taurog,NA,Comedy. Musical,NA,1930
Sweet Kitty Bellairs,Alfred E. Green,NA,Musical comedy,NA,1930
Sweet Mama,Edward F. Cline,NA,Drama,NA,1930
Sweethearts and Wives,Clarence G. Badger,NA,Mystery,NA,1930
The Texan,John Cromwell,NA,Western,NA,1930
Those Who Dance,William Beaudine,NA,Crime,NA,1930
Three Faces East,Roy Del Ruth,NA,Spy drama,NA,1930
Thus is Life,George Crone,NA,Romantic comedy,Spanish language,1930
Tom Sawyer,John Cromwell,NA,Adventure,NA,1930
Top Speed,Mervyn LeRoy,NA,"Musical, Comedy",NA,1930
Troopers Three,NA,NA,Comedy,NA,1930
True to the Navy,Frank Tuttle,NA,Comedy,NA,1930
The Truth About Youth,William A. Seiter,NA,Drama,NA,1930
Under a Texas Moon,Michael Curtiz,NA,"Western, Comedy",NA,1930
The Unholy Three,Jack Conway,NA,"Drama, Crime",NA,1930
Up the River,John Ford,NA,"Comedy, Drama",NA,1930
The Utah Kid,Richard Thorpe,NA,Western,NA,1930
The Vagabond King,Ludwig Berger,NA,Musical,NA,1930
The Virtuous Sin,George Cukor,NA,Comedy drama,NA,1930
War Nurse,Edgar Selwyn,NA,"Drama, War",NA,1930
Way for a Sailor,Sam Wood,NA,NA,NA,1930
Way Out West,Fred Niblo,NA,"Comedy, Western",NA,1930
What a Man!,George Crone,NA,Romantic comedy,NA,1930
What a Widow!,Allan Dwan,NA,Romantic comedy,NA,1930
Whoopee!,Thornton Freeland,NA,Musical,NA,1930
Wide Open,Archie Mayo,NA,Comedy,NA,1930
The Widow From Chicago,Edward F. Cline,NA,"Drama, Crime",NA,1930
Wild Company,Leo McCarey,NA,Drama,NA,1930
The Woman Racket,Albert H. Kelley,NA,"Drama, Crime",NA,1930
Worldly Goods,Phil Rosen,NA,NA,[1],1930
Young Eagles,William A. Wellman,NA,Drama,NA,1930
Young Man of Manhattan,Monta Bell,NA,Comedy,NA,1930
24 Hours,Marion Gering,NA,Drama,NA,1931
Alexander Hamilton,John G. Adolfi,NA,Drama,NA,1931
Alice in Wonderland,Bud Pollard,NA,Fantasy,NA,1931
An American Tragedy,Josef von Sternberg,NA,Drama,NA,1931
Annabelle's Affairs,Alfred L. Werker,NA,Comedy,NA,1931
Are These Our Children?,Wesley Ruggles,NA,Drama,NA,1931
Arizona Terror,Phil Rosen,NA,Western,NA,1931
Arrowsmith,John Ford,NA,Drama,NA,1931
Bachelor Apartment,Lowell Sherman,NA,Comedy,NA,1931
The Bachelor Father,Robert Z. Leonard,NA,Comedy,[1],1931
Bad Girl,Frank Borzage,NA,Drama,NA,1931
Bad Sister,Hobart Henley,NA,Drama,NA,1931
The Bargain,Robert Milton,NA,Drama,NA,1931
Behind Office Doors,Melville W. Brown,NA,Drama,NA,1931
Big Business Girl,William A. Seiter,NA,Romance,NA,1931
The Big Gamble,Fred Niblo,NA,Drama,NA,1931
The Black Camel,Hamilton MacFadden,NA,"Drama, Crime",NA,1931
Blonde Crazy,Roy Del Ruth,NA,Comedy,NA,1931
Border Law,Louis King,NA,Western,NA,1931
Born to Love,Paul L. Stein,NA,Drama,NA,1931
Branded Men,Phil Rosen,NA,Western,NA,1931
The Brat,John Ford,NA,Comedy,NA,1931
Broadminded,Mervyn LeRoy,NA,Comedy,NA,1931
Captain Applejack,Hobart Henley,NA,Drama,NA,1931
Caught Plastered,William A. Seiter,NA,Comedy,NA,1931
The Champ,King Vidor,NA,Drama,NA,1931
Chances,Allan Dwan,NA,Drama,NA,1931
Charlie Chan Carries On,Hamilton MacFadden,NA,Mystery,Fox,1931
Chinatown After Dark,Stuart Paton,NA,"Crime, Drama",NA,1931
Cimarron,Wesley Ruggles,NA,"Drama, Western",NA,1931
City Lights,Charles Chaplin,NA,"Comedy, Drama",NA,1931
City Streets,Rouben Mamoulian,NA,"Drama, Crime",NA,1931
Clearing the Range,Otto Brower,NA,Western,NA,1931
The Common Law,Paul L. Stein,NA,Drama,NA,1931
A Connecticut Yankee,David Butler,NA,Comedy,NA,1931
Cracked Nuts,Edward F. Cline,NA,Comedy,NA,1931
The Criminal Code,Howard Hawks,NA,"Drama, Crime",NA,1931
The Cuban Love Song,W. S. Van Dyke,NA,Musical,NA,1931
Daddy Long Legs,Alfred Santell,NA,Comedy,NA,1931
Daughter of the Dragon,Lloyd Corrigan,NA,Drama,NA,1931
Demon of the Sea,Michael Curtiz,NA,Drama,Lost film,1931
Dirigible,Frank Capra,NA,Adventure,NA,1931
Dishonored,Josef von Sternberg,NA,"Drama, War",NA,1931
Don't Bet on Women,William K. Howard,NA,Comedy,NA,1931
Dr. Jekyll and Mr. Hyde,Rouben Mamoulian,NA,"Drama, Horror",NA,1931
Dracula,Tod Browning,NA,Horror,NA,1931
The Drums of Jeopardy,George B. Seitz,NA,"Drama, Thriller",NA,1931
The Easiest Way,Jack Conway,NA,Drama,NA,1931
El codigo penal,Phil Rosen,NA,Prison drama,NA,1931
El Impostor,Lewis Seiler,NA,Drama,NA,1931
Eran Trece,David Howard,NA,Comedy. Mystery,NA,1931
Everything's Rosie,Clyde Bruckman,NA,Comedy,NA,1931
Expensive Women,Hobart Henley,NA,Drama,NA,1931
Fair Warning,Alfred L. Werker,NA,Western,NA,1931
Fifty Million Frenchmen,Lloyd Bacon,NA,Musical comedy,NA,1931
The Finger Points,John Francis Dillon,NA,"Drama, Crime",NA,1931
Finn and Hattie,Norman Taurog,NA,Comedy,NA,1931
Five and Ten,Robert Z. Leonard,NA,Drama,NA,1931
Five Star Final,Mervyn LeRoy,NA,Drama,NA,1931
Flying High,Charles Reisner,NA,Comedy,NA,1931
Forbidden Adventure,Norman Taurog,NA,Comedy,Aka Newly Rich,1931
Frankenstein,James Whale,NA,NA,NA,1931
A Free Soul,Clarence Brown,NA,Drama,NA,1931
The Front Page,Lewis Milestone,NA,Comedy,NA,1931
The Gang Buster,A. Edward Sutherland,NA,Comedy,NA,1931
Gentleman's Fate,Mervyn LeRoy,NA,Drama,NA,1931
The Girl Habit,Edward F. Cline,NA,Comedy,NA,1931
Girls About Town,George Cukor,NA,Comedy,NA,1931
God's Gift to Women,Michael Curtiz,NA,Musical comedy,NA,1931
Gold Dust Gertie,Lloyd Bacon,NA,Musical comedy,NA,1931
Goldie,Benjamin Stoloff,NA,Comedy,NA,1931
Graft,Christy Cabanne,NA,"Drama, Thriller",NA,1931
The Great Lover,Harry Beaumont,NA,Drama,NA,1931
Grief Street,Richard Thorpe,NA,Romantic crime/mystery,NA,1931
The Guardsman,Sidney Franklin,NA,Comedy drama,NA,1931
The Guilty Generation,Rowland V. Lee,NA,Drama,NA,1931
Guilty Hands,W. S. Van Dyke,NA,"Drama, Crime",NA,1931
Hard Hombre,Otto Brower,NA,Western,NA,1931
Hell Divers,George W. Hill,NA,"Drama, Adventure",NA,1931
Honor Among Lovers,Dorothy Arzner,NA,Drama,NA,1931
Honor of the Family,Lloyd Bacon,NA,Drama,NA,1931
The Hot Heiress,Clarence G. Badger,NA,Comedy,NA,1931
A House Divided,William Wyler,NA,Drama,NA,1931
Huckleberry Finn,Norman Taurog,NA,Comedy,NA,1931
Hush Money,Sidney Lanfield,NA,Comedy,NA,1931
I Take This Woman,Marion Gering,NA,Romance,NA,1931
Illicit,Archie Mayo,NA,Drama,NA,1931
Indiscreet,Leo McCarey,NA,"Drama, Musical",NA,1931
Inspiration,Clarence Brown,NA,Drama,NA,1931
Iron Man,Tod Browning,NA,Film noir,NA,1931
It's a Wise Child,Robert Z. Leonard,NA,Comedy,NA,1931
June Moon,A. Edward Sutherland,NA,Comedy,NA,1931
Just a Gigolo,Jack Conway,NA,Comedy,NA,1931
Kept Husbands,Lloyd Bacon,NA,Drama,NA,1931
Kiki,Sam Taylor,NA,Romantic comedy,NA,1931
Kiss Me Again,William A. Seiter,NA,Comedy,NA,1931
L'aviateur,William A. Seiter,NA,Comedy,[5],1931
La ley del harem,Lewis Seiler,NA,Drama,NA,1931
Ladies' Man,Lothar Mendes,NA,Drama,NA,1931
Ladies of the Big House,Marion Gering,NA,Drama,NA,1931
The Lady Who Dared,William Beaudine,NA,Drama,NA,1931
The Last Flight,William Dieterle,NA,Drama,NA,1931
Laugh and Get Rich,Gregory La Cava,NA,Comedy,NA,1931
The Lawyer's Secret,Louis J. Gasnier,NA,Drama,NA,1931
Little Caesar,Mervyn LeRoy,NA,"Drama, Crime",NA,1931
Local Boy Makes Good,Mervyn LeRoy,NA,Comedy,NA,1931
Lonely Wives,Russell Mack,NA,Comedy,NA,1931
The Mad Genius,Michael Curtiz,NA,"Drama, Thriller",NA,1931
The Maltese Falcon,Roy Del Ruth,NA,Drama,NA,1931
Manhattan Parade,Lloyd Bacon,NA,Comedy,NA,1931
Mata Hari,George Fitzmaurice,NA,Drama,NA,1931
Men in Her Life,William Beaudine,NA,Drama,NA,1931
Men of Chance,George Archainbaud,NA,"Drama, Crime",NA,1931
Men of the Sky,Alfred E. Green,NA,Musical,NA,1931
Merely Mary Ann,Henry King,NA,Romantic comedy,NA,1931
Mi ultimo amor,Lewis Seiler,NA,Romance,NA,1931
The Millionaire,John G. Adolfi,NA,"Comedy, Drama",NA,1931
The Miracle Woman,Frank Capra,NA,Drama,NA,1931
Misbehaving Ladies,William Beaudine,NA,Comedy,NA,1931
Monkey Business,Norman Z. McLeod,NA,Comedy,NA,1931
My Past,Roy Del Ruth,NA,Drama,NA,1931
The Naughty Flirt,Edward F. Cline,NA,Comedy,NA,1931
Never the Twain Shall Meet,W.S. Van Dyke,NA,Drama,NA,1931
Night Nurse,William A. Wellman,NA,Drama,NA,1931
Once a Lady,Guthrie McClintic,NA,Drama,NA,1931
Other Men's Women,William A. Wellman,NA,Drama,NA,1931
Over the Hill,Henry King,NA,Drama,NA,1931
The Painted Desert,Howard Higgin,NA,Western,NA,1931
Palmy Days,A. Edward Sutherland,NA,Musical comedy,NA,1931
Pardon Us,James Parrott,NA,Comedy,NA,1931
Party Husband,Clarence G. Badger,NA,Comedy,NA,1931
Peach O'Reno,William A. Seiter,NA,Comedy,NA,1931
Penrod and Sam,William Beaudine,NA,Comedy,NA,1931
The Phantom,Alan James,NA,Horror,NA,1931
Platinum Blonde,Frank Capra,NA,Comedy,NA,1931
The Pocatello Kid,Phil Rosen,NA,Western,[8],1931
Politics,Charles Reisner,NA,Romantic comedy,NA,1931
Possessed,Clarence Brown,NA,Drama,NA,1931
Private Lives,Sidney Franklin,NA,"Comedy, Drama",NA,1931
The Public Enemy,William A. Wellman,NA,"Drama, Crime",NA,1931
Quick Millions,Rowland Brown,NA,"Drama, Crime",NA,1931
Range Law,Phil Rosen,NA,Western,NA,1931
Reckless Living,Cyril Gardner,NA,Drama,NA,1931
Resurrection,Edwin Carewe,NA,Drama,NA,1931
Rich Man's Folly,John Cromwell,NA,Drama,NA,1931
The Right of Way,Frank Lloyd,NA,Drama,NA,1931
The Road to Reno,Richard Wallace,NA,"Comedy, Drama",NA,1931
The Road to Singapore,Alfred E. Green,NA,Romance,NA,1931
The Ruling Voice,Rowland V. Lee,NA,Crime drama,NA,1931
Safe in Hell,William A. Wellman,NA,Thriller,NA,1931
Scandal Sheet,John Cromwell,NA,Drama,NA,1931
The Sea Ghost,William Nigh,NA,Drama,NA,1931
Seas Beneath,John Ford,NA,Adventure,NA,1931
The Secret Call,Stuart Walker,NA,Drama,NA,1931
The Secret Six,George W. Hill,NA,Crime,NA,1931
Secrets of a Secretary,George Abbott,NA,Drama,NA,1931
Side Show,Roy Del Ruth,NA,Musical comedy,NA,1931
Sidewalks of New York,NA,NA,Comedy,NA,1931
The Sin of Madelon Claudet,Edgar Selwyn,NA,Drama,NA,1931
Sit Tight,Lloyd Bacon,NA,Musical comedy,NA,1931
Six Cylinder Love,Thornton Freeland,NA,Comedy,NA,1931
Skippy,Norman Taurog,NA,"Comedy, Drama",NA,1931
Smart Money,Alfred E. Green,NA,"Drama, Crime",NA,1931
The Smiling Lieutenant,Ernst Lubitsch,NA,Musical comedy,NA,1931
Sooky,Norman Taurog,NA,Adventure,NA,1931
The Spirit of Notre Dame,Russell Mack,NA,NA,NA,1931
The Squaw Man,Cecil B. DeMille,NA,Drama,NA,1931
The Star Witness,William A. Wellman,NA,Crime drama,NA,1931
The Stolen Jools,William C. McGann,NA,Comedy,NA,1931
Street Scene,King Vidor,NA,Drama,NA,1931
Strictly Dishonorable,John M. Stahl,NA,Comedy,NA,1931
The Struggle,D.W. Griffith,NA,Drama,NA,1931
Susan Lenox (Her Fall and Rise),Robert Z. Leonard,NA,Drama,NA,1931
Svengali,Archie Mayo,NA,Drama,NA,1931
Tabu,F. W. Murnau,NA,Drama,NA,1931
Tarnished Lady,George Cukor,NA,Drama,NA,1931
Ten Cents a Dance,Lionel Barrymore,NA,Romance drama,NA,1931
Ten Nights in a Barroom,William A. O'Connor,NA,Drama,NA,1931
This Modern Age,Nick Grinde,NA,Drama,NA,1931
The Tip-Off,Albert S. Rogell,NA,Comedy,NA,1931
Tonight or Never,Mervyn LeRoy,NA,Comedy,NA,1931
Too Many Cooks,William A. Seiter,NA,Romantic comedy,NA,1931
To Young to Marry,Mervyn LeRoy,NA,Comedy,NA,1931
Trader Horn,W. S. Van Dyke,NA,"Drama, Adventure",NA,1931
Transatlantic,William K. Howard,NA,Drama,NA,1931
Unfaithful,John Cromwell,NA,Drama,NA,1931
The Unholy Garden,George Fitzmaurice,NA,Drama,NA,1931
Up Pops the Devil,A. Edward Sutherland,NA,Comedy,NA,1931
The Vice Squad,John Cromwell,NA,"Drama, Crime",NA,1931
The Viking,George Melford,NA,Adventure film,NA,1931
Waterloo Bridge,James Whale,NA,"Drama, War",NA,1931
Way Back Home,William A. Seiter,NA,"Comedy, Drama",NA,1931
Wicked,Allan Dwan,NA,Drama,NA,1931
Woman Hungry,Clarence G. Badger,NA,Western,NA,1931
Working Girls,Dorothy Arzner,NA,Drama,NA,1931
X Marks the Spot,Eric Kenton,NA,"Drama, Crime",NA,1931
The Yellow Ticket,Raoul Walsh,NA,Drama,NA,1931
Young Donovan's Kid,Fred Niblo,NA,Drama,NA,1931
NA,NA,NA,NA,NA,1931
"20,000 Years in Sing Sing",NA,NA,Drama,[1],1932
"70,000 Witnesses",Ralph Murphy,NA,Mystery,Paramount Pictures,1932
Afraid to Talk,Edward L. Cahn,NA,"Drama, Crime",NA,1932
After the Ball,Milton Rosmer,NA,Comedy,Co-Production with the UK,1932
After Tomorrow,Frank Borzage,NA,Drama,Fox,1932
The Age of Consent,Gregory La Cava,NA,Drama,RKO,1932
Air Mail,John Ford,NA,"Drama, Adventure",Universal,1932
Alias the Doctor,NA,NA,Drama,Warner Bros.,1932
The All American,Russell Mack,NA,Drama,Universal,1932
Amateur Daddy,John G. Blystone,NA,Drama,Fox,1932
American Madness,Frank Capra,NA,Drama,Columbia,1932
The Animal Kingdom,Edward H. Griffith,NA,Drama,RKO,1932
Are You Listening?,Harry Beaumont,NA,Drama,MGM,1932
As You Desire Me,George Fitzmaurice,NA,Drama,MGM,1932
Attorney for the Defense,Irving Cummings,NA,Drama,Columbia,1932
Bachelor's Affairs,Alfred L. Werker,NA,Comedy,Fox,1932
Bachelor Mother,Charles Hutchison,NA,Action,NA,1932
Back Street,John M. Stahl,NA,Drama,Universal,1932
The Beast of the City,Charles Brabin,NA,"Drama, Crime",MGM,1932
Beauty and the Boss,Roy Del Ruth,NA,"Comedy, Romance",NA,1932
Beauty Parlor,Richard Thorpe,NA,Drama,Chesterfield,1932
Behind the Mask,John Francis Dillon,NA,"Drama, Horror",Columbia,1932
The Big Broadcast,Frank Tuttle,NA,"Comedy, Musical",Paramount,1932
Big City Blues,Mervyn LeRoy,NA,Drama,Warner Bros.,1932
The Big Stampede,Tenny Wright,NA,Western,Warner Bros.,1932
The Big Timer,Edward Buzzell,NA,Sports,Columbia,1932
A Bill of Divorcement,George Cukor,NA,Drama,RKO,1932
Bird of Paradise,King Vidor,NA,Romantic,RKO,1932
Blessed Event,Roy Del Ruth,NA,Comedy,Warner Bros.,1932
Blonde Venus,Josef von Sternberg,NA,Drama,Paramount,1932
Blondie of the Follies,Edmund Goulding,NA,Comedy,MGM,1932
The Boiling Point,George Melford,NA,Western,NA,1932
Border Devils,William Nigh,NA,Western,NA,1932
Breach of Promise,Paul L. Stein,NA,Drama,NA,1932
Broken Lullaby,Ernst Lubitsch,NA,Drama,Paramount,1932
The Broken Wing,Lloyd Corrigan,NA,"Drama, Western",Paramount,1932
Business and Pleasure,David Butler,NA,Comedy,Fox,1932
But the Flesh Is Weak,Jack Conway,NA,Comedy,MGM,1932
By Whose Hand?,Benjamin Stoloff,NA,"Comedy, Drama",NA,1932
The Cabin in the Cotton,Michael Curtiz,NA,Drama,First National,1932
Call Her Savage,John Francis Dillon,NA,Drama,Fox,1932
Careless Lady,Kenneth MacKenna,NA,Comedy,Fox,1932
Carnival Boat,Albert S. Rogell,NA,Adventure,RKO,1932
Central Park,John G. Adolfi,NA,"Drama, Crime",First National,1932
Chandu the Magician,NA,NA,Mystery,Fox,1932
Charlie Chan's Chance,John G. Blystone,NA,"Drama, Mystery",Fox,1932
Cheaters at Play,Hamilton MacFadden,NA,Drama,Fox,1932
Cock of the Air,Tom Buckingham,NA,Comedy,United Artists,1932
